name,prefecture,city,website,url,rating,review_count,latitude,longitude,place_id,registered_date
Bánh mì nguyễn,Hokkaido,札幌市,,,5.0,5,43.0593454,141.3135854,ChIJGcwX9BQlC18RtCcf704X_Zo,2024-05-16
サイゴンフレッシュ ポールタウン店,Hokkaido,札幌市,,,4.6,96,43.0564289,141.3530917,ChIJNzsGNYMpC18Ro3dxPKhOqDM,2024-05-16
ベトナムゴハン チリン堂,Hokkaido,札幌市,,,4.4,149,43.0495262,141.3555736,ChIJURuf-ScqC18Rsjfyx2xl3XQ,2024-05-16
ホア セン レストラン,Hokkaido,札幌市,,,4.6,182,43.0516513,141.3545714,ChIJfwyYxrUpC18R3v9nBQoTcIY,2024-05-16
バインミー サイゴンフレッシュ 本店,Hokkaido,札幌市,,,4.5,145,43.0573518,141.339118,ChIJlzuRLkgpC18RIhVYmxMQXWE,2024-05-16
banh mi cam on,Hokkaido,札幌市,,,4.7,20,43.08651620000001,141.320199,ChIJOR8L8CIpC18RSKzfk0z_hm4,2024-05-16
フォースミー,Hokkaido,札幌市,,,4.0,22,43.1195359,141.2443205,ChIJRZENn00nC18RUxza84TqYjY,2024-05-16
バインミイーハノイ (Banhmi Hanoi),Hokkaido,室蘭市,,,3.0,3,42.3523789,141.0212984,ChIJNQo_NJ3bn18R8h5J2mXasoc,2024-05-16
ロブ・フォートンズ,Aomori,八戸市,,,3.9,349,40.5113964,141.4933529,ChIJbwrnRQ5Sm18RKIA6o1kotBY,2024-05-16
バインミーバーバー下北沢店,Tokyo,世田谷区,,,4.6,380,35.6628814,139.6657317,ChIJQbAhX2vzGGARxLGJixHGjMU,2024-05-16
三ッ星製パン,Aomori,青森市,,,4.1,83,40.8272523,140.7354007,ChIJH0_g6B6fm18Rd7jXS5HmQiI,2024-05-16
ひまわりベーカリー,Aomori,青森市,,,3.8,11,40.8536854,140.6966751,ChIJ454l79-Ym18RYPsyVH9A1Yk,2024-05-16
THAO’S BANH MI,Kanagawa,川崎市,,,4.4,388,35.5655398,139.6548893,ChIJu1Q2KIFfGGARRrm1T90e5c8,2024-05-16
バインミー☆サンドイッチ,Tokyo,渋谷区,,,4.5,13,35.6683371,139.7048337,ChIJAWhhFACNGGARLhqNOzFV6TM,2024-05-16
バインミー☆サンドイッチ,Yamaguchi,新宿区,,,4.3,620,35.7132389,139.7031536,ChIJ4WsksjmNGGARbYc4nN6_D4c,2024-05-16
バインミーシンチャオ,Shimane,新宿区,,,4.2,444,35.7126653,139.7005539,ChIJVVVQnDeNGGAR3f6E8Pf80CM,2024-05-16
BANH MI XIN CHAO SHINSAIBASHI バインミーシンチャオ心斎橋店,Osaka,大阪市,,,4.1,185,34.6742769,135.50194,ChIJz3qTvj3nAGARx-4Q1hFfmts,2024-05-16
BANH MI STAR SHIBUYA by Nha Viet Nam,Ibaraki,渋谷区,,,4.4,162,35.6573623,139.7026629,ChIJF5u_0nOLGGARdSt0zkorIGY,2024-05-16
ル・ボヌール,Aomori,藤崎町,,,4.3,58,40.6549433,140.5028203,ChIJueV2_MoAm18RP0iH6AYX-7w,2024-05-16
