INFO 2024-09-17 16:36:59,230 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-17 16:36:59,230 autoreload Waiting for apps ready_event.
DEBUG 2024-09-17 16:36:59,367 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-17 16:36:59,378 autoreload Watching dir /Users/kawamotonaoki/banhmilove/banhmilove_app/templates with glob **/*.
DEBUG 2024-09-17 16:36:59,379 autoreload Watching dir /Users/kawamotonaoki/banhmilove/templates/banhmilove_app with glob **/*.
DEBUG 2024-09-17 16:36:59,379 autoreload Watching dir /Users/kawamotonaoki/banhmilove/locale with glob **/*.mo.
DEBUG 2024-09-17 16:36:59,379 autoreload Watching dir /Users/kawamotonaoki/banhmilove/banhmilove_app/locale with glob **/*.mo.
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/db/models/functions/__init__.py first seen with mtime 1726468847.7857432
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/core/servers/basehttp.py first seen with mtime 1726468847.7334433
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/requests/__init__.py first seen with mtime 1726468846.6538646
DEBUG 2024-09-17 16:36:59,437 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/shlex.py first seen with mtime 1722971329.0
DEBUG 2024-09-17 16:36:59,437 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/subprocess.py first seen with mtime 1722971329.0
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1726468847.1865208
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1726468847.704868
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/certifi/core.py first seen with mtime 1726468846.5809026
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/db/models/signals.py first seen with mtime 1726468847.7795198
DEBUG 2024-09-17 16:36:59,437 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/db/models/__init__.py first seen with mtime 1726468847.7728355
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/template/library.py first seen with mtime 1726468847.8375041
DEBUG 2024-09-17 16:36:59,437 autoreload File /Users/kawamotonaoki/banhmilove/venv/lib/python3.12/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1726468847.7091858
