Name,Prefecture,Registered Date,Rating,Review Count,Weighted Score
Bánh mì nguyễn,北海道,2024-06-19,5.0,5,4.059458942687666
banh mi cam on,北海道,2024-06-19,4.7,25,3.8794884874741937
バインミー サイゴンフレッシュ 本店,北海道,2024-06-19,4.5,145,3.9096666308262042
サイゴンフレッシュ ポールタウン店,北海道,2024-06-19,4.6,99,3.7939062688778806
ベトナムゴハン チリン堂,北海道,2024-06-19,4.4,149,3.8936845732157837
ホア セン レストラン,北海道,2024-06-19,4.6,184,4.114488102891349
Deli & Bread VIE DE FRANCE 青森店,青森県,2024-06-19,4.0,41,3.763434996109786
MACURE HOUSE JR新青森駅店,青森県,2024-06-19,4.1,41,3.7697360160081557
カマンベーグル,青森県,2024-06-19,4.1,38,3.7834310787980425
A-FACTORY(エーファクトリー),青森県,2024-06-19,4.2,1185,8.607510455793678
イトーヨーカドー 青森店,青森県,2024-06-19,3.7,1872,9.799028497492964
BANH MI 74,兵庫県,2024-06-19,4.8,91,3.813844827187501
MiStore Số 7 Tôn Thất Tùng,兵庫県,2024-06-19,4.0,287,4.3049200861375825
Conservo - Japanese Breads & Café,岩手県,2024-06-19,4.3,310,4.608825900862003
山崎パン,兵庫県,2024-06-19,4.3,129,3.800102374609728
Ushi Mania - Japanese Aging Beef & Bar (13 Lý Tự Trọng),岩手県,2024-06-19,4.4,198,4.099200408786859
本格ベトナム料理 PHO VIET NAM,宮城県,2024-06-19,4.1,156,3.821131272011644
ハローベトナム,宮城県,2024-06-19,4.0,95,3.6744417545958665
バインミー３２９ Bánh mì 329,山形県,2024-06-19,4.9,47,3.806779288897786
BB Vinmart siêu thị hàng việt,宮城県,2024-06-19,4.0,4,4.070000471003978
maison cœlacanthe(メゾン シーラカンス),宮城県,2024-06-19,4.0,270,4.2283071903108755
Minishop viet nam'cua hang đồ ăn vn',宮城県,2024-06-19,4.0,9,4.006339182728217
Cho Lon（チョロン）,宮城県,2024-06-19,4.0,228,4.0475446843465
ベトナム料理 LANG VIET QUAN,宮城県,2024-06-19,4.2,25,3.8635549947435446
ザイトゥーン,宮城県,2024-06-19,4.6,136,3.905194532132735
ベーグルＵ,宮城県,2024-06-19,4.3,182,3.9881600048021713
UP!BAKER 定禅寺本店,宮城県,2024-06-19,4.1,250,4.194232657346342
柴田パン本店,宮城県,2024-06-19,3.8,366,4.521507716371522
xuân shop sendai,宮城県,2024-06-19,4.5,13,3.968542801279501
ペンギンベーカリー仙台長町店,宮城県,2024-06-19,3.5,114,3.578254493790139
カスクルート,宮城県,2024-06-19,4.2,66,3.7123626699895844
オリジナルラーメンの店中国菜館まんみＴＨＥＭＡＬＬ仙台長町店,宮城県,2024-06-19,3.5,111,3.5775998633089854
